date,time,code,open,high,low,close,volume,amount
2018/2/1,2018-02-01 14:15,sz.000001,12.69737446,12.71559164,12.60628856,12.6609401,9127137,126756352
2018/2/1,2018-02-01 14:30,sz.000001,12.67004869,12.73380882,12.60628856,12.67004869,7808207,108494272
2018/2/1,2018-02-01 14:45,sz.000001,12.67004869,12.79756895,12.65183151,12.70648305,11163689,156074880
2018/2/1,2018-02-01 15:00,sz.000001,12.71559164,12.88865485,12.71559164,12.77935177,15270238,214539904
2018/2/2,2018-02-02 09:45,sz.000001,12.67004869,12.67915728,12.49698548,12.53341984,16507909,227954676
2018/2/2,2018-02-02 10:00,sz.000001,12.54252843,12.62450574,12.41500817,12.58807138,14842050,203943660
2018/2/2,2018-02-02 10:15,sz.000001,12.57896279,12.69737446,12.55163702,12.67915728,8198652,113578400
2018/2/2,2018-02-02 10:30,sz.000001,12.67915728,12.72470023,12.6609401,12.71559164,6346197,88428160
2018/2/2,2018-02-02 10:45,sz.000001,12.70648305,12.73380882,12.64272292,12.67915728,5602171,78037744
2018/2/2,2018-02-02 11:00,sz.000001,12.67915728,12.80667754,12.67004869,12.78846036,5431818,75958592
2018/2/2,2018-02-02 11:15,sz.000001,12.78846036,12.8431119,12.752026,12.76113459,6668387,93706224
2018/2/2,2018-02-02 11:30,sz.000001,12.76113459,12.80667754,12.71559164,12.78846036,6228022,87295024
2018/2/2,2018-02-02 13:15,sz.000001,12.78846036,12.80667754,12.71559164,12.74291741,4688758,65730640
2018/2/2,2018-02-02 13:30,sz.000001,12.74291741,12.752026,12.67004869,12.74291741,4702594,65642672
2018/2/2,2018-02-02 13:45,sz.000001,12.73380882,12.74291741,12.67004869,12.69737446,4822358,67199904
2018/2/2,2018-02-02 14:00,sz.000001,12.69737446,12.70648305,12.64272292,12.6609401,4746420,66005680
2018/2/2,2018-02-02 14:15,sz.000001,12.65183151,12.73380882,12.65183151,12.70648305,6189754,86241648
2018/2/2,2018-02-02 14:30,sz.000001,12.70648305,12.77935177,12.70648305,12.752026,6105346,85443760
